origin,cwe,location,id,msg,verbose,severity,label
Arduino,195,"{'file': 'post-57562.c', 'line': '10', 'info': None}",signConversion,Expression &#039;-2&#039; has a negative value. That is converted to an unsigned value and used in an unsigned calculation.,Expression &#039;-2&#039; has a negative value. That is converted to an unsigned value and used in an unsigned calculation.,warning,0
Arduino,252,"{'file': 'post-39841-2.c', 'line': '9', 'info': None}",ignoredReturnValue,Return value of function atoi() is not used.,Return value of function atoi() is not used.,warning,0
Arduino,398,"{'file': 'post-44154.c', 'line': '20', 'info': None}",arrayIndexThenCheck,Array index &#039;position&#039; is used before limits check.,Defensive programming: The variable &#039;position&#039; is used as an array index before it is checked that is within limits. This can mean that the array might be accessed out of bounds. Reorder conditions such as &#039;(a[i] &amp;&amp; i &lt; 10)&#039; to &#039;(i &lt; 10 &amp;&amp; a[i])&#039;. That way the array will not be accessed if the index is out of limits.,style,0
Arduino,398,"{'file': 'post-49320.c', 'line': '7', 'info': None}",clarifyCondition,Suspicious condition (bitwise operator + comparison); Clarify expression with parentheses.,Suspicious condition. Comparison operators have higher precedence than bitwise operators. Please clarify the condition with parentheses.,style,0
Arduino,398,"{'file': 'post-36480.c', 'line': '69', 'info': None}",clarifyCondition,Suspicious condition (assignment + comparison); Clarify expression with parentheses.,Suspicious condition (assignment + comparison); Clarify expression with parentheses.,style,0
Arduino,398,"{'file': 'post-49320.c', 'line': '7', 'info': None}",clarifyCondition,Boolean result is used in bitwise operation. Clarify expression with parentheses.,Suspicious expression. Boolean result is used in bitwise operation. The operator &#039;!&#039; and the comparison operators have higher precedence than bitwise operators. It is recommended that the expression is clarified with parentheses.,style,0
Arduino,398,"{'file': 'post-63466.c', 'line': '11', 'info': None}",compareBoolExpressionWithInt,Comparison of a boolean expression with an integer other than 0 or 1.,Comparison of a boolean expression with an integer other than 0 or 1.,warning,1
Arduino,398,"{'file': 'post-76380.c', 'line': '33', 'info': None}",constStatement,"Found suspicious operator &#039;,&#039;","Found suspicious operator &#039;,&#039;",warning,1
Arduino,398,"{'file': 'post-72757.c', 'line': '14', 'info': None}",constStatement,"Found suspicious operator &#039;,&#039;","Found suspicious operator &#039;,&#039;",warning,1
Arduino,398,"{'file': 'post-55910.c', 'line': '12', 'info': None}",constStatement,"Found suspicious operator &#039;,&#039;","Found suspicious operator &#039;,&#039;",warning,1
Arduino,398,"{'file': 'post-45499.c', 'line': '26', 'info': None}",constStatement,"Found suspicious operator &#039;,&#039;","Found suspicious operator &#039;,&#039;",warning,1
Arduino,398,"{'file': 'post-52689.c', 'line': '10', 'info': None}",constStatement,"Found suspicious operator &#039;,&#039;","Found suspicious operator &#039;,&#039;",warning,1
Arduino,398,"{'file': 'post-79476.c', 'line': '5', 'info': None}",constStatement,"Found suspicious operator &#039;,&#039;","Found suspicious operator &#039;,&#039;",warning,1
Arduino,398,"{'file': 'post-40316.c', 'line': '110', 'info': None}",duplicateExpression,Same expression on both sides of &#039;-&#039;.,Finding the same expression on both sides of an operator is suspicious and might indicate a cut and paste or logic error. Please examine this code carefully to determine if it is correct.,style,1
Arduino,398,"{'file': 'post-62238.c', 'line': '12', 'info': None}",duplicateValueTernary,Same value in both branches of ternary operator.,Finding the same value in both branches of ternary operator is suspicious as the same code is executed regardless of the condition.,style,1
Arduino,398,"{'file': 'post-46361.c', 'line': '43', 'info': 'identical inner condition: voltsOne==5'}",identicalInnerCondition,Identical inner &#039;if&#039; condition is always true.,Identical inner &#039;if&#039; condition is always true (outer condition is &#039;voltsOne==5&#039; and inner condition is &#039;voltsOne==5&#039;).,warning,0
Arduino,398,"{'file': 'post-37727.c', 'line': '14', 'info': None}",incrementboolean,Incrementing a variable of type &#039;bool&#039; with postfix operator++ is deprecated by the C++ Standard. You should assign it the value &#039;true&#039; instead.,The operand of a postfix increment operator may be of type bool but it is deprecated by C++ Standard (Annex D-1) and the operand is always set to true. You should assign it the value &#039;true&#039; instead.,style,0
Arduino,398,"{'file': 'post-65794.c', 'line': '28', 'info': None}",incrementboolean,Incrementing a variable of type &#039;bool&#039; with postfix operator++ is deprecated by the C++ Standard. You should assign it the value &#039;true&#039; instead.,The operand of a postfix increment operator may be of type bool but it is deprecated by C++ Standard (Annex D-1) and the operand is always set to true. You should assign it the value &#039;true&#039; instead.,style,0
Arduino,398,"{'file': 'post-45499.c', 'line': '91', 'info': None}",knownConditionTrueFalse,The comparison &#039;kMatrixSerpentineLayout == true&#039; is always true because &#039;kMatrixSerpentineLayout&#039; and &#039;true&#039; represent the same value.,Finding the same expression on both sides of an operator is suspicious and might indicate a cut and paste or logic error. Please examine this code carefully to determine if it is correct.,style,0
Arduino,398,"{'file': 'post-46294.c', 'line': '7', 'info': None}",knownConditionTrueFalse,The comparison &#039;x != 0x80&#039; is always false.,Finding the same expression on both sides of an operator is suspicious and might indicate a cut and paste or logic error. Please examine this code carefully to determine if it is correct.,style,0
Arduino,398,"{'file': 'post-33317-2.c', 'line': '115', 'info': 'else if condition is opposite to first condition'}",multiCondition,Expression is always true because &#039;else if&#039; condition is opposite to previous condition at line 110.,Expression is always true because &#039;else if&#039; condition is opposite to previous condition at line 110.,style,0
Arduino,398,"{'file': 'post-77181.c', 'line': '183', 'info': 'else if condition is opposite to first condition'}",multiCondition,Expression is always true because &#039;else if&#039; condition is opposite to previous condition at line 179.,Expression is always true because &#039;else if&#039; condition is opposite to previous condition at line 179.,style,0
Arduino,398,"{'file': 'post-64932.c', 'line': '24', 'info': None}",selfAssignment,Redundant assignment of &#039;count&#039; to itself.,Redundant assignment of &#039;count&#039; to itself.,warning,0
Arduino,398,"{'file': 'post-57798.c', 'line': '111', 'info': 'Shadow variable'}",shadowArgument,Local variable &#039;channel&#039; shadows outer argument,Local variable &#039;channel&#039; shadows outer argument,style,0
Arduino,398,"{'file': 'post-56667.c', 'line': '14', 'info': 'Shadow variable'}",shadowVariable,Local variable &#039;ultrasonic&#039; shadows outer variable,Local variable &#039;ultrasonic&#039; shadows outer variable,style,0
Arduino,398,"{'file': 'post-21554.c', 'line': '296', 'info': 'Shadow variable'}",shadowVariable,Local variable &#039;ip&#039; shadows outer variable,Local variable &#039;ip&#039; shadows outer variable,style,0
Arduino,398,"{'file': 'post-71369-2.c', 'line': '129', 'info': 'Shadow variable'}",shadowVariable,Local variable &#039;x&#039; shadows outer variable,Local variable &#039;x&#039; shadows outer variable,style,0
